start_time,end_time,sent_end_time,sentence,filename
1415s,1417.800s,1417.900s,"I should be certain way, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1441.100s,1449.500s,1449.500s,"What type what our experience should be like, you know, and in someone's life is would be right what life should be what our experience of life should be?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1486.200s,1502.700s,1503.100s,"Xiety is sort of set up more on Survival than driving in a sense that there are systems put in place by the government to help you survive like welfare Medicaid, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1532.700s,1540.600s,1543.200s,"There is no teaching skills of what we actually use every day, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1599.500s,1607.200s,1607.600s,"Yes, right how to forgive how to and so on right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1619.700s,1652.700s,1653.300s,Hmm and and those social paradigms then go into the second block the self-identification based on the You are born into and raised in right we develop different tops concepts of what it means to be a woman with that means to be a man right how it's okay to be how it's not okay to be and we develop those self-identification of or based on all these requirements and this should template right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1673.400s,1688.500s,1689.600s,"Well, I can't Dube your have that right and then like you said then the fear Is a strong component of that induced by all those three components?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1870.700s,1886.400s,1886.400s,"Yeah, and I think that another way it plays out is In our priorities, which is really our selection of what is important to us of Sir priority, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
1933.800s,1941.900s,1942.800s,"Therefore I I say no to people who create drama or chaos in my life, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2200.100s,2202.800s,2203.600s,Can you give us an example to illustrate?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2294.400s,2301.900s,2301.900s,And in my own rooted grounded security knowing my self-worth and draw the line and say you know what?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2414.500s,2438.800s,2439.100s,"Positive and we do want so let's say if we coming from scarcity and think well, I don't really like the way this trend treats me but I don't have that many friends, you know, and overall it's kind of like the best friend I do have right and then we will be available to put up with way more right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2655.400s,2660.400s,2660.400s,"The code of Standards is different, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2660.400s,2666.700s,2666.900s,Yes that we have a different lock the Baseline for what is a deal breaker?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2696.400s,2701.100s,2701.100s,Is somebody who smokes cigarettes right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2701.600s,2711.900s,2712.300s,"I choose not to be available and to be in a relationship with somebody who smoke cigarettes, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2717s,2723.700s,2723.700s,"Let's say we like certain body type or look physically, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2847.700s,2865.700s,2865.700s,"I feel like when we are in this surviving mode, we are very much focused on I need this right and that's like the the woods I needed sometimes I call that will do because that's all I need right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2868.600s,2872.900s,2875.600s,"Now that I have what I need, what do I want?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2904.900s,2908.200s,2909.300s,That I'm being provided for right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
2907.500s,2922.800s,2922.800s,"And again, I feel like all this discussion about what we want ties to another podcast with that on Consciousness creating contrast story writing your conscious story, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3066.400s,3075.400s,3075.800s,"You know, it's funny because if if I was just you know, if we were just on a phone call and I was like hey, so what are you going on you would you have going on today?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3322.200s,3325.700s,3326.300s,Where do we start the first element?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3360.800s,3364s,3364.500s,Where do we place our attention?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3401.300s,3415s,3415.400s,"The driver survived now tension that this what I want my like, you know the saying keep your eyes on the prize, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3489.300s,3495s,3495.400s,"We are available for or no longer available for yes, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3501.900s,3506.700s,3508s,What about invitation for our listeners?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3555.400s,3570.700s,3570.800s,"Hmm and how we can do it is by asking ourselves by checking in with ourselves if we are on course, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3580s,3588.100s,3588.700s,Does it feel like for driving or does it feel surviving right?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3587.400s,3593.300s,3593.500s,Or we may ask if I was thriving would I choose this?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3598.800s,3604.200s,3604.500s,"Oh, I love that if I'm thriving would I choose this?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3606.800s,3615.800s,3617.200s,So imagine if I already was that person that was driving or a person that drives would they choose that?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3692.300s,3699.900s,3700.200s,"Journey of not just surviving but thriving yes, when you start asking different questions, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
3763.400s,3767.300s,3770.400s,So does hearing that felt so good in my body?,0\5\show_05As0fQbe0p9CgcaJbek8n\2QIZ4QieLjGUVlQQMwb4sW.json
294.100s,298.800s,299.200s,"I don't Rather than oh, how do I get that?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
353.300s,361.300s,361.500s,"So it's sad that this place is a major attitude switch or adjustment, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
384.900s,410.400s,411s,"Right which gets supported but all the evidence we can collect and then we stay in this place of Lock and not enough - and that leads to going into this all pull me the victim mode and that feels stuck and heavy and hopeless, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
435.700s,438.500s,438.700s,"We not denying the current facts, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
444.100s,447.900s,448s,"Okay, does this is not changed yet?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
550.900s,554.400s,554.800s,So can I write so that it switches?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
624.500s,630.800s,630.800s,"It's like are we are we going to get you know, really profoundly aware that like something's missing or are we going to see?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
636.600s,644.800s,644.800s,So the Garner I mean I've never met one who goes to an empty Garden looks at the hole in the ground and laments there and stays there right?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
696.300s,706.200s,706.200s,"So remember next time when you start lamenting about something you don't have don't be like this legal crazy Gardener be like the crazy Gardener, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
719.100s,722.200s,722.300s,Look at this awesome or what am I going to put their?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
749.400s,752.100s,753.300s,This part of my garden to look like?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
778.400s,787s,787s,"So one thing is Clarity, but other I think is what are we focusing our Clarity on?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
869s,872.500s,872.500s,"If I go to another room, I'm going to feel different right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
883.400s,885.200s,885.500s,What am I focusing on right now?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
917.300s,921.900s,921.900s,Number one be aware of what is that?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1011.700s,1025.700s,1026.100s,"What would I be better off if I stop doing start doing start feeling thinking take action on Look at things in a certain way, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1135.300s,1142.800s,1143.100s,"Yes, okay, so I'm feeling this way or are Choosing this what would I prefer to show up in start?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1142.200s,1148.400s,1149s,Yes and not from the should should think on yourself place?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1193.100s,1198.900s,1199.900s,I read an like my old car this sucks and my window doesn't work and whatever right?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1200.300s,1210.500s,1210.500s,"Well, so I'm currently in this car and what kind of really want to drive and how would it feel how would I show up?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1212.700s,1216.500s,1216.800s,How would I feel approaching my car in the parking lot?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1425.300s,1430s,1430.100s,It's not the other way around correct?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1487.700s,1493.900s,1495.200s,You trying to speed up their right and you had in this direction yet?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1591.600s,1611.600s,1612.100s,"Yes, so by identifying those limiting beliefs is the best way to do it is observing your thoughts and when we have a thought Looking at it and asking what what does this come from?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1672.100s,1676s,1676.400s,"Yeah, right whose voice is that?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1675.500s,1678.300s,1678.900s,What is it actually saying to me?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1724s,1726.800s,1727.100s,Is it really true what I'm doing myself?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
1767.700s,1775.300s,1778.600s,"Is it really true or maybe it was true in the past, but is it still true today?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2011.900s,2019.200s,2020s,"I'm happy and Rich and healthy and in love, but he's easily you feel yucky and you feel you are freaking right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2362.200s,2367.300s,2367.300s,What does it feel like exactly you imagine?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2376.100s,2379.300s,2380s,What does it feel like right now?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2400.900s,2417.100s,2417.100s,"So the vision part is the details, you know, being very Vivid detailed having a very clear picture very clear image of of what of what What it looks like what what what it is experientially, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2480.700s,2492.400s,2492.400s,"So let's say, you know, if it's a house we would imagine what color would be what size in what neighborhood who would be our neighbor and what would be the view from the window right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2492s,2495.800s,2495.800s,And do we have a yard and is it up front or in the back?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2501s,2504.600s,2506.300s,"So when I'm in this house, how does it feel?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2601.400s,2604.500s,2604.700s,"Well, you're going to want to know where's the nearest grocery?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2604.200s,2610.600s,2610.700s,Our what's cool is are my kids going to go to what is the transportation like to and from that school?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2805.500s,2809.700s,2809.900s,I shouldn't what is nothing really wrong with this one?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
2823.200s,2828s,2828.500s,"I can't for whatever reason but I saw one too, right?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
3108.800s,3115.500s,3115.600s,So what would our invitation be with everything we discussed?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
3114.500s,3119.600s,3119.600s,What do we want our listener to be last 12?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
3208.900s,3211.100s,3211.100s,"Well, what would I want to eat?",0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
3262.300s,3266.500s,3268.600s,Yes in a crowded place or limited space right?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
3310.400s,3312.600s,3313.100s,What do I choose to do with it?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
3313.300s,3316.300s,3316.300s,Choose to identify do I choose to question it?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
3318.100s,3320.300s,3320.700s,Do I choose just to observe it?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
3464.700s,3470.100s,3470.200s,I think we got what we want right?,0\5\show_05As0fQbe0p9CgcaJbek8n\3OROIDRyEeogU0vzmCyJEx.json
161.700s,163.800s,165.200s,Why did I not achieve those goals?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6aMWwf0kSD9X2SeLP3OhnC.json
216.200s,218.900s,219.400s,"him. Well, how do you know every day what you're focusing on?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6aMWwf0kSD9X2SeLP3OhnC.json
218.700s,221.300s,221.300s,"You know, how do you know what you're focusing on for the month?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6aMWwf0kSD9X2SeLP3OhnC.json
246.300s,251.600s,251.600s,"Someone said I yeah, I was yeah, that's what I'm focusing on this year or as meant to do that, right?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6aMWwf0kSD9X2SeLP3OhnC.json
345.800s,354.500s,354.700s,So what do you need to do in order to achieve that goal and really clearly write those steps down once you've listed out and completed all of those?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6aMWwf0kSD9X2SeLP3OhnC.json
391.500s,398.400s,398.400s,"Well, I don't know what they call it American football right a touchdown, you know, no one just walks off back to the halfway line, right?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6aMWwf0kSD9X2SeLP3OhnC.json
66.100s,69.400s,69.700s,Next up is the why why are you doing this?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6aSrFb4syO29tV0ME3L12C.json
68.900s,71.400s,71.400s,Why is this so important to you?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6aSrFb4syO29tV0ME3L12C.json
148.900s,155.600s,155.900s,What word accountability is a must for all your actions?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6aSrFb4syO29tV0ME3L12C.json
154.800s,159.400s,159.800s,And my question to you is how will you be held accountable?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6aSrFb4syO29tV0ME3L12C.json
183.900s,188.300s,188.300s,Do you get the idea use this technique for all your goals?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6aSrFb4syO29tV0ME3L12C.json
234.700s,238.400s,238.500s,And the second is to recognize that?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6aSrFb4syO29tV0ME3L12C.json
98.100s,110.600s,110.600s,"So yeah, I think That these New Year's resolutions and now either sitting in or they're flopping to the side and have to pick it back up, you know, yeah or the order if they're in the bin somewhere, right?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
158.600s,172.800s,172.900s,"I think because I have had like a personal experience with this and I do think that a lot of us don't recognize when our emotions are controlling how we snack and what we reach for, you know?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
318.400s,325.900s,326.200s,"Well, I mean that's interesting because dogs are so you know, so important to families that they literally our family, right?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
846.300s,855.600s,856.800s,What was that question that that super powerful question I was asked was are you allowing space for your emotion?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
907.400s,916.200s,916.400s,"Yeah, and at that moment, you know, I strongly felt I have a right to feel sad, you know, why didn't they allow?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1070.900s,1073.700s,1073.700s,emotion. What's what's what's your take on that?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1074.200s,1077.900s,1079.500s,"You've got good emotion and by the motion, what's your thoughts on that?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1191.400s,1195.300s,1195.800s,"I mean, how is going to be difficult to filter by Bloody here day, right?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1586.100s,1589.200s,1589.200s,"To do something which is wrong, right?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1651.500s,1655.200s,1655.800s,"Yeah didn't and then look at the shift, right?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1695.600s,1712.500s,1712.600s,"I'm busy you actually took the time to talk to exactly that just what you said that I was now thinking, you know, if I had not blurted it out could this Have affected my relationship with my sister could I have ended up blaming her for feeling like a fraud?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1871.300s,1872.900s,1872.900s,Is there anything else you would say?,0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1892.100s,1909.600s,1909.800s,"Yeah and then some good music like some old time we'll school music and I don't know Old-time music for me might be like, yeah Megan your music is like Is that only a few years old mate?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1916.100s,1920.300s,1920.300s,"Hmm, you know, what what's going to make me feel bad?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1920s,1929.700s,1929.700s,"So from this what needs to be solved, you know, if it's if you're feeling like you lonely, you know, what do I need?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
1961.800s,1974.900s,1976.300s,"And then when you when you already long past that Phase and you're already halfway through a pack of Oreos, you know, and then you kind of catch yourself ways where did half of this pack go?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
2036.700s,2039.200s,2039.200s,"Lots of people think well, what do I do?",0\5\show_05AvHw0rRjFVzMQIGRHsON\6yXAdUvhZoKKhYSzvMk2MP.json
